round_value,money_card_value,ratio,games,settled,abandoned,challenger,challenger_net,challenger_side,challenger_win,challenger_take,reference,reference_net,reference_side,reference_win,reference_take,net_margin,net_interval,side_margin,side_interval,win_margin,win_interval,p,verdict
5,1,0.200000,8008,8008,0,prospector,0.006369,-0.021104,0.251374,0.249892,outs,-0.006369,0.021104,0.248626,0.249322,0.012737,0.218160,-0.042208,0.078730,0.002747,0.010191,0.908895,inside the interval
5,10,2.000000,8008,8008,0,prospector,-0.430195,0.234141,0.216783,0.168046,outs,0.430195,-0.234141,0.283217,0.250929,-0.860390,0.824127,0.468282,0.795371,-0.066434,0.010098,0.040736,raw only
5,20,4.000000,8008,8008,0,prospector,0.473277,1.790709,0.184128,0.084256,outs,-0.473277,-1.790709,0.315872,0.250413,0.946553,1.627034,3.581419,1.610383,-0.131743,0.009856,0.254186,inside the interval
5,40,8.000000,8008,8008,0,prospector,3.668831,5.679321,0.149476,0.001280,outs,-3.668831,-5.679321,0.350524,0.248603,7.337662,3.291256,11.358641,3.285957,-0.201049,0.009435,0.000012,survives
